Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163
D4,18474,33599,48574,57403,63468,54895,49584,58060,62040,53394,36195,35384,35579,35949,36367,38114,38193,37306,39807,38684,39447,40009,39746,40729,38889,37271,34677,33516,30718,28262,24541,21080,19677,17417,17697,16981,16697,16186,15954,14359,14286,14804,13596,12851,13133,12101,12028,11797,11763,11198,10673,11065,10668,10430,9635,10206,10322,10590,10100,10483,10908,10771,10856,10861,10256,10617,10323,11213,10573,10506,11193,10351,10678,11441,11463,11937,11755,11548,11141,11931,11946,12145,12317,12171,13396,13097,13063,12843,12641,13591,13324,13249,13918,13631,14306,14549,13779,13785,14901,13939,15351,15115,14401,14361,15786,15121,14761,14651,15019,15151,15926,15121,15694,14866,15371,15836,16046,16151,16889,16487,16046,16123,16424,15446,17119,16424,17409,16264,16091,16984,16609,16622,16666,17106,16661,17527,17089,17064,17257,17298,17341,17364,17564,17677,17144,17759,17007,17239,18139,18496,17419,18004,17862,17491,17967,18329,18142,18277,17729,18952,19032,17959,17950
D5,19014,39841,100580,113480,172930,153957,139214,156174,159738,159888,162213,164927,172738,179230,189592,202457,212580,226540,235574,216792,259685,269106,285658,300421,291701,277045,251914,230352,210002,181652,148057,110910,86940,72906,64069,59571,56344,53711,53419,51343,51420,48726,49449,48794,48876,48244,45990,46849,47556,45680,44844,44656,43839,43471,43946,42956,45294,45092,43591,43284,43299,42231,43336,41560,42356,41707,41433,41373,41272,40325,41783,40590,42388,40980,39912,41146,40724,40167,40340,40740,39774,40574,40166,39919,40345,41596,41772,40862,40440,40230,41303,40607,40997,41090,40044,40037,41218,41304,40970,41077,40720,40114,40900,38879,40565,40329,40139,40079,39817,38999,40684,39019,38331,40985,40399,41515,40124,40659,39587,38274,39694,39781,40992,39844,40047,41142,38746,40522,39118,39081,40947,40049,39254,41004,40439,39634,40307,40962,39014,40216,40749,39462,38641,39784,39762,40887,39554,38716,40177,38423,40517,40142,41320,39749,40505,38166,40249,39264,38906,39449,40429,40267,38167
E1,24276,36390,40300,42845,47357,48531,44551,44832,49422,50282,50362,50622,53229,51977,52926,53882,55272,53034,54415,47278,53855,56769,57126,56078,57259,58032,55868,56529,58482,59058,58477,59148,60056,58045,59266,58460,57214,56043,55391,55145,51310,50027,46428,45352,43753,38229,34454,30202,24906,26162,28076,29509,28872,29045,29700,29490,28577,29005,27244,28407,28172,28205,27920,25384,26899,25430,26707,25446,26496,25189,25046,25274,25521,24933,25686,26211,27179,26782,27334,25654,28340,27149,26861,28335,27109,29151,28227,28087,28235,27534,28917,27782,30283,28725,31171,29213,29112,30760,30315,31493,33437,33181,33507,34497,35672,35146,35057,35167,34564,34657,35642,36417,36080,37263,35597,36243,36993,36618,36825,36823,36573,38161,39161,37193,38836,39382,38126,38171,39188,39172,39577,40210,40614,41174,41180,41595,42648,41542,41785,41887,41600,43824,44844,43136,43594,42988,44467,43929,45269,45386,45279,45425,45052,44942,47028,47091,46523,47728,46890,47403,48143,47651,46861
E2,21465,35389,41780,41604,46767,49161,43121,47924,50272,51853,52434,53744,54039,53808,57599,58785,57053,58107,59858,51761,57347,58390,60679,62843,61292,61034,61972,60641,61865,63411,63661,64352,62598,65861,63559,65425,61607,62447,59924,58057,56874,55020,54963,51746,49767,48184,44099,42507,39011,34855,29547,25408,24831,26904,30380,29520,30157,30425,31976,31068,30623,29205,30610,28775,28430,30782,30418,30088,29927,29850,30488,29015,29293,29605,29718,28621,28819,29663,30355,30125,31191,31010,31712,31696,30180,31142,32448,32359,32806,32416,32169,33144,33754,32636,34582,33024,34675,34991,35197,35745,37458,36642,38539,39189,40014,41990,41400,40790,40747,42321,40744,41530,42583,42466,42110,44397,42696,42931,44179,44166,44106,44103,44794,45737,45980,45815,45450,45525,46882,47096,46270,47083,49079,47658,48974,48209,49402,48966,48319,49241,51135,50538,51958,51140,53459,52143,51451,52053,52814,52981,53714,52609,54528,53286,54332,54525,54777,54963,55485,56819,55658,55055,56507
E3,22075,35830,42481,47497,52160,51323,46262,50965,54855,55305,54365,55485,54389,55829,56749,57815,57263,59258,58988,54092,59218,61382,61059,63924,62703,64767,64014,62323,63726,61930,61770,60069,59086,59336,58715,58970,58695,56503,56731,53714,53752,53009,51911,50785,50517,48454,45310,45128,43103,40447,39021,34841,32213,27274,25789,21528,22755,26214,28534,30068,31153,31496,31111,31226,31001,30682,30408,31388,30838,31041,30298,30706,30513,29305,31208,30262,29569,30043,30205,32356,32271,31550,31382,32866,32181,34273,33459,34359,33377,33297,35010,35285,35055,37038,35853,37496,37306,36932,40589,40607,40360,43575,41750,42231,44647,43130,43951,45042,44249,45202,45146,44922,45685,45767,46032,48439,46538,49264,48041,48729,50100,48826,49616,51280,51593,51578,50853,51368,52435,52559,53674,54327,53551,55052,54517,55543,56296,57902,56174,58977,58240,60484,59884,60477,61245,60669,62848,61099,62681,62857,63591,63346,63354,64814,64419,63972,64514,66911,65813,66196,66276,67094,64503
E4,17864,31978,47043,52450,60125,52664,49374,57179,60489,50312,34905,33893,32778,36129,35247,37253,38223,37566,39206,37693,38536,37638,39636,37418,39179,37321,35237,31045,31168,28362,26211,22100,19477,17407,16707,15561,15406,13785,14814,15279,13406,13924,13186,13421,12193,12481,12558,11827,11083,11048,11143,10185,9618,9830,9615,9055,8822,9550,9430,10123,9858,9631,9445,9371,8885,8827,10273,9793,9462,9365,10053,10021,10508,10460,10463,9637,10105,10348,10451,10401,9896,10445,10437,10551,10416,10457,10963,11153,11741,11791,11743,11748,10878,11461,11586,11588,10958,12385,12151,12018,12271,12495,11831,11651,12626,11550,11760,12681,12868,12871,11855,12831,12103,12026,12880,12716,12946,13331,13138,13626,12966,13303,13313,12836,12608,13414,13179,13623,13560,13664,13729,13451,13126,14485,13501,13646,14169,13853,13396,13878,14491,13914,13603,13876,13714,14058,14316,14469,14269,15095,14489,14294,14361,14531,14886,14869,15151,14786,15069,14381,14691,14889,15370
E5,18604,36710,83721,103877,157631,133803,125533,140617,145042,144030,143819,149518,158590,164801,175281,184235,194467,209326,220504,208892,241381,251924,267449,281747,291932,279874,256989,226081,209491,191533,162944,126942,95969,74267,59806,52156,46808,43625,41993,39507,39054,37911,36013,35167,35339,35137,34294,33953,34640,33764,34049,32460,32854,33126,32351,32551,33058,32456,32236,31918,31493,32506,31181,30986,30991,32422,33129,31588,31598,30861,30418,32106,32114,32036,30768,31582,31060,29983,31016,30676,30801,31860,30372,30596,31041,31642,32158,31959,31606,30766,30458,31783,30903,32056,31581,31103,31563,30930,32296,31563,31516,32500,31756,31966,32161,33036,31345,31396,33384,32346,31390,32336,31768,31781,31695,31671,32031,31075,31023,31201,31541,32558,32138,31901,32724,31798,30683,30978,32455,33169,32164,31466,31040,31300,30705,32871,31453,31388,30771,31882,31305,31418,30938,32001,31388,31483,33442,30983,32013,32590,30443,31578,31806,32246,32171,30833,31216,31981,32323,31536,29845,31903,30994
F1,24046,36860,41240,42074,46557,45980,42590,46973,49362,48471,49352,50251,50107,51156,50114,50850,52630,52374,53814,46057,52674,52686,53644,56488,54207,54000,54107,53517,52498,52724,53804,51733,52961,52291,50200,51055,49850,49449,49967,48541,47308,46005,43766,43821,43503,41710,39026,38215,34540,31773,29767,24778,21030,21613,26159,28230,29717,29835,30145,31028,31083,30666,29760,30175,31111,31012,32959,30918,32348,31121,32659,32306,32364,31976,33169,33303,32170,34104,33237,34997,34262,35712,35094,36868,37273,39265,39901,41413,41840,40570,41973,44019,44219,43721,42876,42388,43138,43305,44261,43699,43441,44696,42681,44702,41815,44701,44621,45032,44009,44522,44646,45842,46045,46698,47342,47338,46528,47133,47411,47558,47768,49236,50477,48749,48411,47566,49552,48356,49834,51038,49712,52156,51370,52370,51525,51761,51053,50837,52791,52002,51565,53679,54480,54583,53720,53994,54062,56506,55005,55342,56076,56671,54758,54998,56103,56186,56369,55713,56456,57279,56258,56876,57117
F2,25116,38841,47093,48067,51250,51443,46292,51486,52994,54745,53825,54504,55020,54038,54817,53502,56973,55976,56416,50270,54055,55248,57407,57839,55838,57502,56529,57209,56331,55806,54845,53374,54402,54202,53582,53056,53172,52590,51368,51183,49049,47926,47088,46783,44974,44402,42628,41066,38861,38336,35589,34871,32674,30505,29420,28080,25846,24223,20802,23396,25391,28335,30510,32376,34222,35874,36720,37331,37240,38174,38431,39269,39557,41000,40292,40616,41454,42718,42391,43081,44687,45227,45639,46763,47178,47600,49356,51558,52626,51756,54940,56156,54725,54427,55493,54665,55626,54552,55608,56146,56139,56323,56229,55698,55843,56518,56438,57880,58097,59641,59145,59711,59203,59076,59570,58605,60747,60962,59939,60917,60426,62665,61384,61507,60629,63336,63121,62075,63623,63496,62471,62513,62928,64208,64464,63959,63601,64957,63489,65212,65375,66419,65898,65540,67249,65813,66331,66383,65583,65610,66253,66018,68077,67517,68383,67084,67156,66141,65873,67196,67707,65272,66174
F3,22885,37240,44532,48508,52320,52273,46683,52336,54715,53354,53254,53864,55560,54919,54717,55763,57113,58107,57947,51891,56977,59441,59458,60952,59271,61495,58730,59380,59783,57136,56696,56046,55753,52931,52361,52196,52001,51790,51398,52063,48709,49097,49079,48184,46915,47223,46000,43277,43053,41958,40902,39683,38736,37648,36423,34942,34199,32826,30735,30238,29153,26964,26399,24003,22268,22299,25326,29488,32978,33952,36410,38179,38956,38388,39752,41056,40634,40947,41630,41450,43196,43025,44768,46573,45617,46449,48536,48456,50525,50765,49777,52344,52454,52506,52431,52073,52114,52931,53517,54055,55068,54001,54558,56439,55033,55097,59300,57900,60229,59431,58564,60251,60564,61257,61461,62878,62638,64064,62670,63819,64089,64887,64827,64830,66513,66419,67194,68040,66475,67890,68035,68217,68022,69763,69458,67862,68265,70081,68853,68975,68868,71322,71172,69263,70252,69886,69383,70807,70056,72355,71187,73174,72531,70769,70875,70447,71380,71035,70166,72231,72531,71487,70968
F4,18824,31738,47854,55112,62477,50992,52536,60372,62471,36015,32774,33493,34899,35599,36468,36333,37392,38766,39316,38124,39077,39839,39766,40539,39759,36580,33796,31616,30788,27742,24571,21920,19447,17897,15946,14741,14156,13815,13984,13328,13516,13073,13496,11881,11993,11841,11698,11447,10933,10818,10943,11075,10618,10380,9956,9265,9332,9520,10040,9453,9178,9451,9215,8880,8685,9417,8583,9513,9783,9836,10193,10391,10068,10220,10573,9987,9985,10848,10641,10211,10886,11095,10627,10921,11006,10457,11923,11603,11111,11371,11893,11508,12498,12131,12026,11618,11728,12005,12201,12088,12391,11685,12161,12381,12146,12220,12341,12471,12478,12831,12365,12751,12573,12746,13160,12106,12646,12621,12358,12296,12486,12963,13223,13816,13048,13053,13479,13553,12800,13444,13519,13561,13506,13045,13661,13526,13199,12773,13646,12677,13861,13644,13053,12746,13484,14478,14336,14199,13528,14215,13938,14314,13991,13851,14656,14349,14461,14036,14479,14901,14861,14199,14099
F5,18324,35940,84702,102566,160987,134414,124000,140496,143178,146474,147015,152934,161656,169310,177325,187532,199449,216133,227773,205925,245834,258243,275835,287326,286373,274205,243830,217990,207426,182143,152454,116247,85768,68172,57144,49944,46117,42255,41102,39076,37753,38551,35983,35828,34769,34677,34234,33703,33899,32824,33709,33831,33234,31966,32081,32291,31958,31846,32066,31979,31613,31476,30060,30475,30370,30892,31478,30738,30607,30580,30228,31366,31093,31446,31028,29762,30730,31233,32236,30576,30811,31540,31252,29535,30390,31062,30047,31078,30335,31016,30988,30533,30593,30045,31381,31273,30783,30400,30845,30933,30265,30450,31326,30485,29290,31005,29865,30525,30903,29475,30490,30605,30258,31081,29914,31001,31071,30465,30283,30240,31001,30587,31258,29960,30873,30888,30503,30648,32255,31288,31323,31776,32041,30840,30425,30130,30813,30397,30530,30512,31135,31048,31388,30991,31118,32013,30831,30993,30433,30660,30913,30998,30916,31005,30690,31974,30565,29380,30133,31115,30415,30943,29463
G1,25976,37840,42441,43275,46337,46700,39739,47153,48501,48471,49892,48200,48526,49736,48794,49890,50339,51033,51873,43416,50152,49684,52273,52806,52176,51448,50515,50375,51127,50732,50723,49372,50220,48099,48339,48413,47658,47087,46615,46020,44536,44754,44427,43091,40942,39339,39127,38175,37121,37246,34379,32991,32133,29465,29990,26789,25476,22333,20332,19225,22110,23893,27459,28725,30921,31042,32799,32859,34329,34442,34800,34227,34064,35197,34940,33753,34961,35705,35317,35187,36563,38943,38605,36578,38003,37575,38431,37881,38759,38599,41283,42238,42048,42251,43506,43699,43829,44846,45012,46300,46513,45827,45732,47673,46478,46612,48353,46573,47641,47333,48988,49164,48796,50040,48913,48299,50410,50175,48621,51270,49149,52228,52458,53132,51963,52419,53004,53299,53146,52499,53795,53287,53722,54492,54027,53852,53985,54449,55113,55565,55148,56371,57682,57094,56942,58117,58045,57657,58257,58174,58417,57362,58600,58600,59346,57757,58380,57855,59858,59801,58790,60459,59939
G2,24266,37490,43541,46717,49579,49201,43171,49394,49832,49852,50032,50311,50337,51447,50795,52961,53191,51993,53204,45297,51663,52696,53234,54227,54818,52008,54337,52936,53129,52403,50793,49742,49519,49950,49740,49904,49870,48068,47766,46470,45887,45425,46208,44292,43193,42781,41668,40066,39142,38956,37650,37532,36605,33166,33131,32031,30657,28935,26514,25606,24051,21813,20247,21523,25809,28141,31898,33889,36390,35803,38451,38469,37626,38519,38581,39756,38853,41297,40680,41820,41995,42445,41887,43311,43376,43527,46275,45465,46653,46793,49057,47511,48531,49645,51551,51903,50302,51590,52776,55175,55688,55732,56949,56389,56704,57359,57269,57379,58948,59291,58494,59000,59643,59856,59390,61848,60997,62022,61129,61998,62328,63396,63135,62718,62841,62806,63351,64557,64314,64967,65723,64975,65680,66010,65785,66291,66143,67929,66941,67063,68147,67409,69991,70114,68250,69135,69223,68045,70026,70493,69246,71633,70229,70109,70774,69626,69789,70845,69886,71770,69849,70747,71859
G3,22185,36470,43021,46376,49929,50572,44381,50955,51033,51923,50422,50862,51578,51467,50915,52361,52090,52534,54345,47058,52134,53377,53724,54467,54547,53279,54077,52846,52678,50672,50262,48631,48299,47118,46378,46582,46888,44366,43544,43198,42865,42563,42716,41260,40602,40500,39667,37825,36941,36835,35959,34151,33504,33316,32431,31171,29607,29345,28234,26997,25901,25194,23748,21823,20597,20869,23526,27387,29927,33301,34749,38529,38006,40419,39932,40736,40304,40947,40850,41070,41415,42135,43477,41920,41905,42347,44414,43664,45352,46002,45775,48271,48421,48444,50260,51723,52774,53481,54087,52894,52726,53831,54688,56359,54092,55217,56468,56609,55155,55738,56393,56689,56551,58165,56868,57044,59406,58790,58788,61317,59706,61284,61084,60947,61510,61525,62601,61835,62542,61825,63041,61732,62828,63628,63584,65770,65883,64026,65270,65342,66806,66869,67659,68783,67850,68365,68513,67184,68755,69042,69095,70152,68157,67166,67932,68605,70169,70144,69496,70379,71570,71017,71088
G4,19004,32178,47113,54351,61096,49942,51696,62463,42298,32974,34134,35134,34409,36759,36277,37533,38443,38456,41387,38974,41198,42120,40577,41660,38378,36891,32006,30255,28467,23991,22020,18919,16397,15436,15006,14811,13846,13545,12633,13198,12375,12263,11806,12331,11683,11991,11668,11867,10933,11118,10562,10375,10658,11020,10136,10516,9662,9710,9950,9703,9108,9351,9485,8680,8845,9087,9393,9153,9162,9916,10283,10351,10308,9770,10413,10327,10385,10338,10351,10031,10536,10995,10267,11201,10706,10647,11083,10813,11111,11251,11203,10668,11488,11281,11406,11628,11858,11355,11490,11748,11651,10895,11761,11861,11656,11710,11580,11631,11848,12011,12195,11680,11573,12236,12730,11886,13256,12061,12238,12026,12106,12043,11843,12156,11878,12323,12898,12173,12380,13083,13078,12411,12655,12615,12481,12226,12418,12233,12996,12537,13011,13073,12703,13046,12693,12848,12956,12768,13768,12705,13208,13434,13951,13121,13516,13199,13441,13506,12848,13571,13471,13558,13049
G5,17954,33238,79307,97210,153142,137629,125683,142329,148407,145081,150471,155609,161696,173879,181404,193245,207468,218609,233960,214646,256796,267030,278083,282981,268394,243652,215373,200607,175043,142938,107736,81787,64219,54302,48879,44481,41205,40754,38991,38626,36863,37281,35352,35878,35029,34117,33064,33993,32889,32924,33999,32100,32384,32546,31461,31991,32788,31746,31596,31578,30663,30706,31251,30946,32051,30842,30708,30988,31258,30971,29818,31496,31493,30605,30658,30382,29029,30713,30636,30475,31181,30010,31422,30736,30650,30162,31038,30508,30295,30736,30148,30123,29502,30425,29790,30263,29973,30310,30055,29943,29035,30640,29585,29535,31151,29954,29835,31206,30913,29675,30180,30015,29648,30130,30245,30670,28760,28815,30873,29920,30060,30207,30287,29890,29522,29908,28742,30898,29294,29648,29012,29815,29430,30550,30365,29700,29353,30728,29690,29161,29725,29368,30258,29600,29658,30143,30210,30013,28772,29439,29472,30618,30205,29595,30010,29423,29925,29180,29562,28895,28935,29633,29243
H1,23556,34979,38039,40894,43335,42578,37058,42381,45410,44889,45190,44778,46134,46264,45572,45697,46547,48031,48591,39044,46110,48053,47841,47843,47263,48546,48494,48253,46235,47160,47341,47381,44997,45177,44707,46232,44056,43455,43894,44169,44596,41933,41525,40990,40422,39899,38246,37795,36630,36085,36840,34081,34034,33696,32771,31121,30097,29365,28154,27887,25601,24684,23178,22763,19987,18558,18294,16774,20354,21928,23946,25774,27522,28645,29478,28961,31030,30013,30966,32036,31981,31830,32022,34257,32911,32743,33409,33029,34907,33597,35280,36535,36315,36418,35502,37366,38076,37472,38568,37876,38299,40114,40540,39109,40785,42130,40389,43621,42728,43401,42925,43831,43183,45677,43941,45527,45947,46753,47571,47598,50040,49216,49947,50670,50432,50227,51553,52138,50985,52909,51603,52596,51610,51640,53477,55203,54705,54780,55833,55365,55858,55220,56962,54953,56171,55966,57615,58267,56706,56493,55886,58313,58260,57259,57615,57117,58140,59936,59528,57649,57990,58618,56977
H2,23476,36550,39459,42735,44886,45329,40199,47673,48972,48891,48141,48080,48736,48825,49164,50900,49899,49152,51623,43366,49172,50785,50662,51725,51966,52289,50925,53096,50787,50392,50562,49892,49039,49279,47848,47443,47598,47187,46115,45810,45287,45685,44016,44332,42763,43231,41548,40636,40642,38956,38581,38913,36035,35217,33812,34452,34689,33536,32116,32409,30433,30886,29830,27905,27759,26921,26907,26157,26116,24869,23936,25154,22751,22983,22305,20849,23447,25901,29305,31466,31601,34492,34773,34547,35462,34903,36430,36630,36078,37248,36580,37336,38116,37598,38724,39157,40217,39523,40599,40677,39399,40904,40570,41670,42596,42120,43961,42581,44619,42921,45867,45072,46025,46077,48083,47178,47398,48113,48601,48449,49940,49316,50037,51290,52704,52209,52154,52619,54026,56761,57927,55898,57694,58024,58720,59466,59478,60624,60036,61759,61272,61975,63286,63599,62986,64732,64509,64682,65403,65910,65363,65458,64174,66656,65790,67775,66056,65820,66583,67547,69098,67264,67195
H3,20455,33579,40550,43395,49068,47260,40900,50345,49192,46870,47261,47980,48256,49796,48904,49509,51130,50833,51743,44677,52444,51746,53634,53937,54787,54170,53717,52176,50427,51263,49402,48461,48439,47928,47568,47623,47178,43835,44684,45339,43956,44204,43726,42341,41882,41830,41127,40556,40002,38636,37600,37242,36615,35297,35122,33652,32858,32676,32256,31188,28232,28655,27029,26814,24528,23750,22315,20865,19884,19607,22035,24394,27492,28495,29808,32183,32090,33704,32816,34147,35412,34482,34713,34327,34682,35454,34989,35550,36388,38389,35950,35755,36965,38819,38264,38406,39477,38493,40089,40377,41000,40614,42201,43671,42766,43710,42090,43491,45319,43931,45666,45582,47266,47418,48833,49139,49710,49764,50793,51591,54102,52728,53489,53222,54855,54330,55406,56751,56428,56061,57527,58320,57034,58995,58460,60507,60459,60654,61687,61899,63123,62496,63746,65070,63897,64252,64760,66333,67804,65790,66614,68240,67427,68567,68473,67654,69258,71065,69546,67817,70539,71077,71889
H4,18414,32558,45492,53271,59885,49221,47713,57730,60619,33894,32534,33313,33689,34268,36027,36153,36072,36965,37526,34912,37876,35557,36625,36728,34877,32039,28154,28424,25956,21540,19690,17009,16397,15176,14546,14991,14346,14305,13454,12938,12785,13093,12376,12171,11823,12191,11178,11637,11323,10848,10943,11165,10218,10780,10286,10786,10462,9940,10190,10103,10078,9821,9485,9140,9485,9147,9203,9623,9362,8965,10153,10111,10408,9700,10473,10437,10915,10288,11041,11361,12026,11235,11697,11001,11326,11407,11023,11793,11381,10871,11293,12078,11618,12171,11906,11298,11768,12685,11180,12318,12061,13175,11711,12031,12346,11930,11580,12261,12508,12031,12455,12471,12513,12656,12730,13096,12806,12691,12968,12546,12666,13103,14073,14056,13258,13244,12958,12873,12920,13314,13439,13681,13676,14755,13761,13226,13809,14873,13126,13968,13811,14514,14254,13716,13874,14358,15016,15279,14679,14085,14429,14494,15071,14151,14386,14809,14721,14676,14399,14801,15491,16069,15950
H5,17574,34259,84722,103106,158402,144110,123690,151185,153146,153376,156752,165117,171646,181846,189832,208551,218245,230350,250206,218827,271662,282921,294257,297722,275326,249580,223083,206501,180684,142928,107115,78243,64389,55163,50740,46072,41585,42715,41353,38986,39254,38891,38364,37808,37470,35137,35105,35844,35960,33984,36440,35542,35075,33756,35622,32881,34579,32966,33446,34469,34214,32706,32921,31746,32101,32773,33029,33209,32408,32401,32118,32726,33464,31065,32759,31692,32090,32243,31866,31496,31691,32831,31762,30906,33742,31962,32458,31338,31656,31746,32239,32334,31583,32326,31671,31513,32384,30430,30175,32394,31766,32280,30876,30315,31621,31755,31185,31026,31253,31086,32000,30475,32168,31351,31905,32581,30360,31085,31203,31301,30560,32178,32038,31041,31413,31508,30813,30858,31265,31078,31193,30816,31840,30670,31025,31821,30153,30567,30110,29382,31536,30298,31718,30510,30848,30353,31521,31043,31523,29909,30333,31478,31066,31065,29920,30433,31576,31551,30453,30355,30815,29883,31614
